"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
Applications which could pass invalid NIDs to X509_NAME_get_index_by_NID_APIName should check for the return value of -2,null,Applications which could pass invalid NIDs to X509_NAME_get_index_by_NID_APIName should check for the return value of -2,Applications which could pass invalid NIDs to X509_NAME_get_index_by_NID_APIName should check for the return value of -2. Alternatively the NID validity can be determined first by checking OBJ_nid2obj(nid) is not NULL.
X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName are legacy functions which have various limitations which make X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName of minimal use in practice,null,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName are legacy functions which have various limitations which make X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName of minimal use in practice,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName are legacy functions which have various limitations which make X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName of minimal use in practice. X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim: this can be highly confusing if the target is a muticharacter string type like a BMPString or a UTF8String.
Alternatively the NID validity can be determined first by checking OBJ_nid2obj is not NULL,null,Alternatively the NID validity can be determined first by checking OBJ_nid2obj(nid) is not NULL,Applications which could pass invalid NIDs to X509_NAME_get_index_by_NID_APIName should check for the return value of -2. Alternatively the NID validity can be determined first by checking OBJ_nid2obj(nid) is not NULL.
X509_NAME_get_index_by_NID_APIName can also return -2 if the supplied NID is invalid,null,X509_NAME_get_index_by_NID_APIName can also return -2 if the supplied NID is invalid,X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName return the index of the next matching entry or -1 if not found. X509_NAME_get_index_by_NID_APIName can also return -2 if the supplied NID is invalid.
X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName return the index of the next matching entry or -1 if not found,null,X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName return the index of the next matching entry or -1 if not found,X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName return the index of the next matching entry or -1 if not found. X509_NAME_get_index_by_NID_APIName can also return -2 if the supplied NID is invalid.
X509_NAME_entry_count_APIName returns the total number of entries,null,X509_NAME_entry_count_APIName returns the total number of entries,X509_NAME_entry_count_APIName returns the total number of entries.
X509_NAME_get_entry_APIName returns an X509_NAME_get_entry_APIParam_1 pointer to the requested entry or NULL if the index is invalid,null,X509_NAME_get_entry_APIName returns an X509_NAME_get_entry_APIParam_1 pointer to the requested entry or NULL if the index is invalid,X509_NAME_get_entry_APIName returns an X509_NAME_get_entry_APIParam_1 pointer to the requested entry or NULL if the index is invalid.
X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim,null,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim: this can be highly confusing if the target is a muticharacter string type like a BMPString or a UTF8String,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName are legacy functions which have various limitations which make X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName of minimal use in practice. X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim: this can be highly confusing if the target is a muticharacter string type like a BMPString or a UTF8String.
For a more general solution X509_NAME_get_index_by_NID_APIName or X509_NAME_get_index_by_OBJ_APIName should be used followed by X509_NAME_get_entry_APIName on any matching indices and the various X509_NAME_get_entry_APIParam_0 utility functions on the result,null,For a more general solution X509_NAME_get_index_by_NID_APIName or X509_NAME_get_index_by_OBJ_APIName should be used followed by X509_NAME_get_entry_APIName on any matching indices and then the various X509_NAME_get_entry_APIParam_0 utility functions on the result,For a more general solution X509_NAME_get_index_by_NID_APIName or X509_NAME_get_index_by_OBJ_APIName should be used followed by X509_NAME_get_entry_APIName on any matching indices and then the various X509_NAME_get_entry_APIParam_0 utility functions on the result.
this can be highly confusing,if the target is a muticharacter string type like a BMPString or a UTF8String,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim: this can be highly confusing if the target is a muticharacter string type like a BMPString or a UTF8String,X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName are legacy functions which have various limitations which make X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName of minimal use in practice. X509_NAME_get_text_by_NID_APIName and X509_NAME_get_text_by_OBJ_APIName can only find the first matching entry and will copy the contents of the field verbatim: this can be highly confusing if the target is a muticharacter string type like a BMPString or a UTF8String.
"This is usually the exact numeric or pointer-based thread ID used internally , however this also handles the unusual case where pointers are larger than ` long ' variables and the platform 's thread IDs are pointer-based - , mixing is done to attempt to produce a unique numeric value even though it is not as wide as the platform 's true thread IDs",null,"This is usually the exact numeric or pointer-based thread ID used internally, however this also handles the unusual case where pointers are larger than 'long' variables and the platform's thread IDs are pointer-based - in this case, mixing is done to attempt to produce a unique numeric value even though it is not as wide as the platform's true thread IDs","CRYPTO_THREADID_hash_APIName returns a numeric value usable as a hash-table key. This is usually the exact numeric or pointer-based thread ID used internally, however this also handles the unusual case where pointers are larger than 'long' variables and the platform's thread IDs are pointer-based - in this case, mixing is done to attempt to produce a unique numeric value even though it is not as wide as the platform's true thread IDs."
These functions implement Montgomery multiplication,null,These functions implement Montgomery multiplication,"These functions implement Montgomery multiplication. These functions are used automatically when BN_mod_exp_APIName is called with suitable input, but These functions may be useful when several operations are to be performed using the same modulus."
BN_MONT_CTX_new_APIName allocates and initializes a BN_MONT_CTX_init_APIParam_1 structure,null,BN_MONT_CTX_new_APIName allocates and initializes a BN_MONT_CTX_init_APIParam_1 structure,BN_MONT_CTX_new_APIName allocates and initializes a BN_MONT_CTX_init_APIParam_1 structure. BN_MONT_CTX_init_APIName initializes an existing uninitialized BN_MONT_CTX_init_APIParam_1.
BN_MONT_CTX_init_APIName initializes an existing uninitialized BN_MONT_CTX_init_APIParam_1,null,BN_MONT_CTX_init_APIName initializes an existing uninitialized BN_MONT_CTX_init_APIParam_1,BN_MONT_CTX_new_APIName allocates and initializes a BN_MONT_CTX_init_APIParam_1 structure. BN_MONT_CTX_init_APIName initializes an existing uninitialized BN_MONT_CTX_init_APIParam_1.
Newer applications should use a more modern algorithm such as PBKDF2 as defined in PKCS # 5v2 .1 and provided by PKCS5_PBKDF2_HMAC,null,Newer applications should use a more modern algorithm such as PBKDF2 as defined in PKCS#5v2.1 and provided by PKCS5_PBKDF2_HMAC,Newer applications should use a more modern algorithm such as PBKDF2 as defined in PKCS#5v2.1 and provided by PKCS5_PBKDF2_HMAC.
BN_MONT_CTX_copy_APIName copies the BN_MONT_CTX_copy_APIParam_1 BN_MONT_CTX_copy_APIParam_2 to BN_MONT_CTX_copy_APIParam_1,null,BN_MONT_CTX_copy_APIName copies the BN_MONT_CTX_copy_APIParam_1 BN_MONT_CTX_copy_APIParam_2 to BN_MONT_CTX_copy_APIParam_1,BN_MONT_CTX_copy_APIName copies the BN_MONT_CTX_copy_APIParam_1 BN_MONT_CTX_copy_APIParam_2 to BN_MONT_CTX_copy_APIParam_1.
BN_mod_mul_montgomery_APIName computes Mont,null,"BN_mod_mul_montgomery_APIName computes Mont(BN_mod_mul_montgomery_APIParam_2,BN_mod_mul_montgomery_APIParam_3):=BN_mod_mul_montgomery_APIParam_2*BN_mod_mul_montgomery_APIParam_3*R^-1 and places the result in BN_mod_mul_montgomery_APIParam_1","BN_mod_mul_montgomery_APIName computes Mont(BN_mod_mul_montgomery_APIParam_2,BN_mod_mul_montgomery_APIParam_3):=BN_mod_mul_montgomery_APIParam_2*BN_mod_mul_montgomery_APIParam_3*R^-1 and places the result in BN_mod_mul_montgomery_APIParam_1."
BN_MONT_CTX_set_APIName sets up the BN_MONT_CTX_set_APIParam_1 structure from the modulus BN_MONT_CTX_set_APIParam_2 by precomputing its inverse and a value R,null,BN_MONT_CTX_set_APIName sets up the BN_MONT_CTX_set_APIParam_1 structure from the modulus BN_MONT_CTX_set_APIParam_2 by precomputing its inverse and a value R,BN_MONT_CTX_set_APIName sets up the BN_MONT_CTX_set_APIParam_1 structure from the modulus BN_MONT_CTX_set_APIParam_2 by precomputing its inverse and a value R.
= BN_mod_mul_montgomery_APIParam_2 * BN_mod_mul_montgomery_APIParam_3 * R ^ -1 and places the result in BN_mod_mul_montgomery_APIParam_1,null,"BN_mod_mul_montgomery_APIName computes Mont(BN_mod_mul_montgomery_APIParam_2,BN_mod_mul_montgomery_APIParam_3):=BN_mod_mul_montgomery_APIParam_2*BN_mod_mul_montgomery_APIParam_3*R^-1 and places the result in BN_mod_mul_montgomery_APIParam_1","BN_mod_mul_montgomery_APIName computes Mont(BN_mod_mul_montgomery_APIParam_2,BN_mod_mul_montgomery_APIParam_3):=BN_mod_mul_montgomery_APIParam_2*BN_mod_mul_montgomery_APIParam_3*R^-1 and places the result in BN_mod_mul_montgomery_APIParam_1."
BN_from_montgomery_APIName performs the Montgomery reduction BN_from_montgomery_APIParam_1 = BN_from_montgomery_APIParam_2 * R ^ -1,null,BN_from_montgomery_APIName performs the Montgomery reduction BN_from_montgomery_APIParam_1 = BN_from_montgomery_APIParam_2*R^-1,BN_from_montgomery_APIName performs the Montgomery reduction BN_from_montgomery_APIParam_1 = BN_from_montgomery_APIParam_2*R^-1.
BN_to_montgomery_APIName is a macro,null,BN_to_montgomery_APIName is a macro,BN_to_montgomery_APIName is a macro.
"For all functions , BN_MONT_CTX_init_APIParam_1 BN_MONT_CTX_set_APIParam_3 is a previously allocated BN_MONT_CTX_set_APIParam_3 used for temporary variables",null,"For all functions, BN_MONT_CTX_init_APIParam_1 BN_MONT_CTX_set_APIParam_3 is a previously allocated BN_MONT_CTX_set_APIParam_3 used for temporary variables","For all functions, BN_MONT_CTX_init_APIParam_1 BN_MONT_CTX_set_APIParam_3 is a previously allocated BN_MONT_CTX_set_APIParam_3 used for temporary variables."
"BN_MONT_CTX_new_APIName returns the newly allocated BN_MONT_CTX_new_APIParam_0, and NULL on error",null,"BN_MONT_CTX_new_APIName returns the newly allocated BN_MONT_CTX_new_APIParam_0, and NULL on error","BN_MONT_CTX_new_APIName returns the newly allocated BN_MONT_CTX_new_APIParam_0, and NULL on error."
