If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
The following implementations are available in the SQLite core,null,The following implementations are available in the SQLite core:,The SQLite source code contains multiple implementations of these mutex routines.An appropriate implementation is selected automatically at compile-time.The following implementations are available in the SQLite core:
The sqlite3_mutex_alloc_APIName routine allocates a new mutex and returns a pointer to it,null,The sqlite3_mutex_alloc_APIName routine allocates a new mutex and returns a pointer to it.,The sqlite3_mutex_alloc_APIName routine allocates a new mutex and returns a pointer to it.The sqlite3_mutex_alloc_APIName routine returns NULL if it is unable to allocate the requested mutex.The argument to sqlite3_mutex_alloc_APIName must one of these integer constants:
The SQLITE_MUTEX_PTHREADS and SQLITE_MUTEX_W32 implementations are appropriate for use on Unix and Windows,null,The SQLITE_MUTEX_PTHREADS and SQLITE_MUTEX_W32 implementations are appropriate for use on Unix and Windows.,The SQLITE_MUTEX_NOOP implementation is a set of routines that does no real locking and is appropriate for use in a single-threaded application.The SQLITE_MUTEX_PTHREADS and SQLITE_MUTEX_W32 implementations are appropriate for use on Unix and Windows.
The argument to sqlite3_mutex_alloc_APIName must one of these integer constants,null,The argument to sqlite3_mutex_alloc_APIName must one of these integer constants:,The sqlite3_mutex_alloc_APIName routine allocates a new mutex and returns a pointer to it.The sqlite3_mutex_alloc_APIName routine returns NULL if it is unable to allocate the requested mutex.The argument to sqlite3_mutex_alloc_APIName must one of these integer constants:
The sqlite3_mutex_alloc_APIName routine returns NULL if it is unable to allocate the requested mutex,null,The sqlite3_mutex_alloc_APIName routine returns NULL if it is unable to allocate the requested mutex.,The sqlite3_mutex_alloc_APIName routine allocates a new mutex and returns a pointer to it.The sqlite3_mutex_alloc_APIName routine returns NULL if it is unable to allocate the requested mutex.The argument to sqlite3_mutex_alloc_APIName must one of these integer constants:
code that links against SQLite is permitted to use any of these routines,null," , code that links against SQLite is permitted to use any of these routines .","The SQLite core uses these routines for thread synchronization.Though they are intended for internal use by SQLite, code that links against SQLite is permitted to use any of these routines."
"Please pay particular attention to the fact that the pointer returned from sqlite3_value_blob_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName can be invalidated by a subsequent call to sqlite3_value_bytes_APIName, sqlite3_value_bytes16_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName",null,"Please pay particular attention to the fact that the pointer returned from sqlite3_value_blob_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName can be invalidated by a subsequent call to sqlite3_value_bytes_APIName, sqlite3_value_bytes16_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName.","Please pay particular attention to the fact that the pointer returned from sqlite3_value_blob_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName can be invalidated by a subsequent call to sqlite3_value_bytes_APIName, sqlite3_value_bytes16_APIName, sqlite3_value_text_APIName, or sqlite3_value_text16_APIName."
The first two constants cause sqlite3_mutex_alloc_APIName to create a new mutex,null,The first two constants (SQLITE_MUTEX_FAST_API_constant and SQLITE_MUTEX_RECURSIVE_API_constant) cause sqlite3_mutex_alloc_APIName to create a new mutex.,"The first two constants (SQLITE_MUTEX_FAST_API_constant and SQLITE_MUTEX_RECURSIVE_API_constant) cause sqlite3_mutex_alloc_APIName to create a new mutex.The new mutex is recursive when SQLITE_MUTEX_RECURSIVE_API_constant is used but not necessarily so when SQLITE_MUTEX_FAST_API_constant is used.The mutex implementation does not need to make a distinction between SQLITE_MUTEX_RECURSIVE_API_constant and SQLITE_MUTEX_FAST_API_constant if it does not want to.SQLite will only request a recursive mutex in cases where it really needs one.If a faster non-recursive mutex implementation is available on the host platform, the mutex subsystem might return such a mutex in response to SQLITE_MUTEX_FAST_API_constant."
it constructs a name `` sqlite3_X_init '' where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last '' / '' to the first following '' . '',If that does not work,"If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""","The entry point is sqlite3_load_extension_APIParam_3.zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.It first tries ""sqlite3_extension_init"".If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""and omitting any initial ""lib"".The sqlite3_load_extension_APIName interface returns SQLITE_OK_API_constant on success and SQLITE_ERROR_API_constant if something goes wrong.If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.The calling function should free this memory by calling sqlite3_free_APIName."
"The sqlite3_db_release_memory_APIName interface attempts to free as much heap memory as possible from database connection D. Unlike the sqlite3_release_memory_APIName interface , this interface is in effect",even when the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is omitted,"The sqlite3_db_release_memory_APIName interface attempts to free as much heap memory as possible from database connection D. Unlike the sqlite3_release_memory_APIName interface, this interface is in effect even when the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is omitted.","The sqlite3_db_release_memory_APIName interface attempts to free as much heap memory as possible from database connection D. Unlike the sqlite3_release_memory_APIName interface, this interface is in effect even when the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is omitted."
